"Season","Team","Matches","Wins","Draws","Losses","Goals_For","Goals_Against","Points","Win_Rate","Rank"
"2014/2015","FC Barcelona",38,30,4,4,110,21,94,78.9,1
"2014/2015","Real Madrid CF",38,30,2,6,118,38,92,78.9,2
"2015/2016","FC Barcelona",38,29,4,5,112,29,91,76.3,1
"2013/2014","Atlético Madrid",38,28,6,4,77,26,90,73.7,1
"2015/2016","Real Madrid CF",38,28,6,4,110,34,90,73.7,2
"2015/2016","Atlético Madrid",38,28,4,6,63,18,88,73.7,3
"2013/2014","Real Madrid CF",38,27,6,5,104,38,87,71.1,2
"2013/2014","FC Barcelona",38,27,6,5,100,33,87,71.1,3
"2014/2015","Atlético Madrid",38,23,9,6,67,29,78,60.5,3
"2014/2015","Valencia CF",38,22,11,5,70,32,77,57.9,4
"2014/2015","Sevilla FC",38,23,7,8,71,45,76,60.5,5
"2013/2014","Athletic Club de Bilbao",38,20,10,8,66,39,70,52.6,4
"2015/2016","Villarreal CF",38,18,10,10,44,35,64,47.4,4
"2013/2014","Sevilla FC",38,18,9,11,69,52,63,47.4,5
"2015/2016","Athletic Club de Bilbao",38,18,8,12,58,45,62,47.4,5
"2014/2015","Villarreal CF",38,16,12,10,48,37,60,42.1,6
"2015/2016","RC Celta de Vigo",38,17,9,12,51,59,60,44.7,6
"2013/2014","Real Sociedad",38,16,11,11,62,55,59,42.1,6
"2013/2014","Villarreal CF",38,17,8,13,60,44,59,44.7,7
"2014/2015","Athletic Club de Bilbao",38,15,10,13,42,41,55,39.5,7
"2015/2016","Sevilla FC",38,14,10,14,51,50,52,36.8,7
"2014/2015","RC Celta de Vigo",38,13,12,13,47,44,51,34.2,8
"2014/2015","Málaga CF",38,14,8,16,42,48,50,36.8,9
"2013/2014","RC Celta de Vigo",38,14,7,17,49,54,49,36.8,8
"2013/2014","Valencia CF",38,13,10,15,51,53,49,34.2,9
"2014/2015","Rayo Vallecano",38,15,4,19,46,68,49,39.5,10
"2014/2015","RCD Espanyol",38,13,10,15,47,51,49,34.2,11
"2013/2014","Levante UD",38,12,12,14,35,43,48,31.6,10
"2015/2016","Málaga CF",38,12,12,14,38,35,48,31.6,8
"2015/2016","Real Sociedad",38,13,9,16,45,48,48,34.2,9
"2014/2015","Real Sociedad",38,11,13,14,44,51,46,28.9,12
"2013/2014","Málaga CF",38,12,9,17,39,46,45,31.6,11
"2015/2016","Real Betis Balompié",38,11,12,15,34,52,45,28.9,10
"2015/2016","Valencia CF",38,11,11,16,46,48,44,28.9,11
"2015/2016","UD Las Palmas",38,12,8,18,45,53,44,31.6,12
"2013/2014","Rayo Vallecano",38,13,4,21,46,80,43,34.2,12
"2015/2016","RCD Espanyol",38,12,7,19,40,74,43,31.6,13
"2015/2016","SD Eibar",38,11,10,17,49,61,43,28.9,14
"2013/2014","Getafe CF",38,11,9,18,35,54,42,28.9,13
"2013/2014","RCD Espanyol",38,11,9,18,41,51,42,28.9,14
"2015/2016","RC Deportivo de La Coruña",38,8,18,12,45,61,42,21.1,15
"2013/2014","Granada CF",38,12,5,21,32,56,41,31.6,15
"2014/2015","Elche CF",38,11,8,19,35,62,41,28.9,13
"2013/2014","UD Almería",38,11,7,20,43,71,40,28.9,16
"2013/2014","Elche CF",38,9,13,16,30,50,40,23.7,17
"2013/2014","CA Osasuna",38,10,9,19,32,62,39,26.3,18
"2015/2016","Granada CF",38,10,9,19,46,69,39,26.3,16
"2015/2016","Real Sporting de Gijón",38,10,9,19,40,62,39,26.3,17
"2015/2016","Rayo Vallecano",38,9,11,18,52,73,38,23.7,18
"2014/2015","Levante UD",38,9,10,19,34,67,37,23.7,14
"2014/2015","Getafe CF",38,10,7,21,33,64,37,26.3,15
"2013/2014","Real Valladolid",38,7,15,16,38,60,36,18.4,19
"2015/2016","Getafe CF",38,9,9,20,37,67,36,23.7,19
"2014/2015","SD Eibar",38,9,8,21,34,55,35,23.7,16
"2014/2015","Granada CF",38,7,14,17,29,64,35,18.4,17
"2014/2015","RC Deportivo de La Coruña",38,7,14,17,35,60,35,18.4,18
"2014/2015","UD Almería",38,8,8,22,35,64,32,21.1,19
"2015/2016","Levante UD",38,8,8,22,37,70,32,21.1,20
"2013/2014","Real Betis Balompié",38,6,7,25,36,78,25,15.8,20
"2014/2015","Córdoba CF",38,3,11,24,22,68,20,7.9,20
